,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Field1,Bit Errors Field2,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
1,2020/081 21:44:18.936,3162,12,57304,0001,A79C0 00000 00001,2020/081 21:44:18.936,0,406027021.656,0.000,10.490,32.810,37.794,1.295,0.303,0,6094,9,9,0,399.975,FFFE2F 53CE00 000000 000D14 8E50F1 021573
2,2020/081 19:32:55.775,3162,11,69642,0001,A79C0 00000 00001,2020/081 19:32:55.775,0,406026682.531,0.000,10.490,45.731,47.555,1.238,0.557,0,78,9,9,0,399.991,FFFE2F 53CE00 000000 000D14 8E50E5 25B095
3,2020/081 19:32:05.925,3162,11,69642,0001,A79C0 00000 00001,2020/081 19:32:05.925,0,406028160.938,0.000,11.444,45.711,47.502,1.243,0.527,0,78,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E50F8 2E9A75
4,2020/081 19:31:17.420,3162,11,69642,0001,A79C0 00000 00001,2020/081 19:31:17.420,0,406029581.859,0.000,10.490,46.903,48.103,1.240,0.568,0,78,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E50EC AA0E4A
5,2020/081 19:30:28.990,3162,11,69642,0001,A79C0 00000 00001,2020/081 19:30:28.990,0,406030890.000,0.000,8.583,45.636,47.046,1.244,0.446,0,78,9,9,0,399.991,FFFE2F 53CE00 000000 000D14 8E50E1 F0220C
6,2020/081 19:29:36.839,3162,11,69642,0001,A79C0 00000 00001,2020/081 19:29:36.839,0,406032103.297,0.000,6.676,45.640,47.062,1.264,0.178,0,78,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E50F5 FD5BE8
7,2020/081 19:04:42.535,3162,13,38957,0001,A79C0 00000 00001,2020/081 19:04:42.535,0,406034904.719,0.000,6.676,46.445,47.183,1.249,0.476,0,78,9,9,0,399.975,FFFE2F 53CE00 000000 000D14 8E50F7 E4C7BD
