,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
105,2020/081 18:58:57.654,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:58:57.654,0,406034215.555,0.000,2.861,39.559,41.636,1.258,0.277,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E505E EA7705
106,2020/081 18:57:14.308,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:57:14.308,0,406034216.133,0.000,2.861,39.590,41.996,1.253,0.249,0,4999,0,400.083,FFFE2F 53CE00 000000 000D14 8E50C5 33ECE1
107,2020/081 18:56:23.475,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:56:23.475,0,406034216.438,0.000,2.861,38.430,40.484,1.262,0.285,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5010 169F6B
108,2020/081 18:55:34.052,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:55:34.052,0,406034216.500,0.000,2.861,37.971,39.559,1.279,0.303,0,5002,0,399.945,FFFE2F 53CE00 000000 000D14 8E50F1 65867B
109,2020/081 18:54:42.905,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:54:42.905,0,406034216.664,0.000,2.861,38.787,40.628,1.263,0.285,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E5037 8671F9
110,2020/081 18:53:54.350,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:53:54.350,0,406034216.719,0.000,2.861,39.594,40.834,1.289,0.302,0,5001,0,399.991,FFFE2F 53CE00 000000 000D16 0E5084 67DE01
111,2020/081 18:53:04.206,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:53:04.206,0,406034216.758,0.000,2.861,40.140,41.421,1.283,0.274,0,5001,0,399.991,FFFE2F 53CE00 000000 002D14 8E5069 871584
112,2020/081 18:52:13.408,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:52:13.408,0,406033950.063,0.000,2.861,39.973,41.663,1.262,0.287,0,5009,0,399.361,FFFE2F 53CE00 000000 000D14 8E5052 480AE9
113,2020/081 18:51:21.179,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:51:21.179,0,406034948.438,0.000,2.861,35.865,39.032,1.265,0.251,0,-233,0,401.799,FFFE2F 53CE00 000000 000D14 8E5069 983361
114,2020/081 18:50:30.416,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:50:30.416,0,406034216.016,0.000,2.861,38.745,40.733,1.257,0.270,0,4999,0,400.037,FFFE2F 53CE00 000000 000D14 8E50ED 45EE51
115,2020/081 18:39:42.777,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:39:42.777,0,406034212.055,0.000,2.861,33.856,35.602,1.301,0.340,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5027 9272EF
116,2020/081 18:38:50.995,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:38:50.995,0,406034211.648,0.000,2.861,40.156,41.646,1.262,0.260,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E5082 5A9340
117,2020/081 18:38:02.452,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:38:02.452,0,406034211.023,0.000,2.861,40.130,42.168,1.257,0.276,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5020 3F61DF
118,2020/081 18:37:13.938,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:37:13.938,0,406034210.156,0.000,2.861,40.533,41.952,1.281,0.246,0,3437,0,399.991,FFFE2F 53CE00 000080 000D14 8E50B0 6C7E97
119,2020/081 18:36:22.742,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:36:22.742,0,406034209.563,0.000,2.861,41.046,42.065,1.283,0.264,0,3985,0,399.945,FFFE2F 53CE00 000000 000D14 8E50F7 7307CC
120,2020/081 18:34:43.437,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:34:43.437,0,406034209.430,0.000,2.861,41.445,42.452,1.277,0.231,0,5000,0,400.037,FFFE2F 53CE00 01C000 000D14 8E5072 93E2BF
121,2020/081 18:33:55.017,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:33:55.017,0,406034209.156,0.000,2.861,38.031,40.297,1.257,0.250,0,4999,0,400.037,FFFE2F 53CE00 000000 000D14 8E50C8 DEA9A0
122,2020/081 18:33:03.870,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:33:03.870,0,406034208.844,0.000,2.861,40.351,42.092,1.256,0.263,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E50E0 8FE3C6
123,2020/081 18:32:15.385,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:32:15.385,0,406034209.094,0.000,3.815,37.919,40.205,1.260,0.183,0,79,0,399.991,FFFE2F 53CE00 000000 000D14 8E50C1 6F21EE
124,2020/081 18:31:25.895,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:31:25.895,0,406034209.156,0.000,2.861,37.545,40.259,1.261,0.266,0,5001,0,399.929,FFFE2F 53CE00 000000 000D14 8E5080 D98A75
125,2020/081 18:30:37.783,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:30:37.783,0,406034208.430,0.000,2.861,39.248,41.759,1.254,0.262,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50EF BDDE8C
126,2020/081 18:29:46.005,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:29:46.005,0,406034208.281,0.000,2.861,39.572,41.593,1.256,0.242,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E50B8 0AFBFD
127,2020/081 18:28:53.781,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:28:53.781,0,406034207.469,0.000,2.861,40.813,42.573,1.248,0.241,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E50D0 BA5CBD
128,2020/081 18:28:04.259,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:28:04.259,0,406034207.094,0.000,2.861,39.212,41.461,1.260,0.273,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E50CC 241957
129,2020/081 18:27:15.822,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:27:15.822,0,406034206.523,0.000,2.861,37.756,39.501,1.299,0.299,0,4414,0,400.006,FFFE2F 53CE00 000000 040D14 8E50D5 785040
130,2020/081 18:26:26.594,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:26:26.594,0,406034205.539,0.000,2.861,37.893,39.662,1.268,0.297,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 86508F 95D1CD
131,2020/081 18:25:36.758,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:25:36.758,0,406034204.695,0.000,2.861,37.018,39.740,1.265,0.296,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5002 D6EC58
132,2020/081 18:24:45.261,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:24:45.261,0,406034203.805,0.000,2.861,36.784,39.329,1.288,0.312,0,5000,0,399.945,FFFE2F 53CE00 000000 000D12 8E50CE 2003C5
133,2020/081 18:23:04.936,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:23:04.936,0,406034202.016,0.000,2.861,39.076,40.444,1.290,0.299,0,4766,0,399.991,FFFE2F 53CE00 000000 000D14 8E501C 14E61B
134,2020/081 18:22:15.404,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:22:15.404,0,406034200.211,0.000,2.861,38.081,39.727,1.274,0.313,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E50BA 1B49B9
135,2020/081 18:21:23.203,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:21:23.203,0,406034198.578,0.000,2.861,36.333,38.180,1.280,0.286,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E50E5 4EC9EA
136,2020/081 18:19:39.842,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:19:39.842,0,406034195.711,0.000,2.861,35.975,38.381,1.284,0.339,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8E506A 764CFD
137,2020/081 18:18:50.007,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:18:50.007,0,406034192.797,0.000,2.861,35.726,36.088,1.293,0.358,0,5391,0,399.945,FFFE2F 53CE00 000000 000D14 925016 F3F493
138,2020/081 17:49:49.783,3169,216,1226,0005,A79C0 00000 00001,2020/081 17:49:49.783,0,406034220.367,0.000,11.444,37.880,41.006,1.261,0.216,2,-392,0,399.960,FFFED0 53CE00 000000 000D14 8E5090 17A13C
139,2020/081 17:49:41.550,3169,216,1226,0001,A79C0 00000 00001,2020/081 17:49:41.550,0,406034198.063,0.000,2.861,39.302,41.080,1.263,0.290,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E50E1 199085
140,2020/081 17:48:51.715,3169,216,1226,0001,A79C0 00000 00001,2020/081 17:48:51.715,0,406034195.297,0.000,2.861,39.427,41.620,1.259,0.261,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E541C 39601C
