,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
72,2020/081 21:25:02.256,3166,217,759,1,A79C0 00000 00001,2020/081 21:25:02.256,0,406062471.5,0,2.861,41.782,43.368,1.246,0.237,0,4999,0,400.052,FFFE2F 53CE00 000000 000D14 8E5043 CEC1F1
73,2020/081 21:24:14.138,3166,217,759,1,A79C0 00000 00001,2020/081 21:24:14.138,0,406062470.6,0,2.861,41.044,43.332,1.247,0.241,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50C9 1AA253
74,2020/081 21:23:22.357,3166,217,759,1,A79C0 00000 00001,2020/081 21:23:22.357,0,406062470.1,0,4.768,41.684,44.2,1.246,0.201,0,78,0,400.037,FFFE2F 53CE00 000000 000D14 8E5064 F3BEA6
75,2020/081 21:22:33.817,3166,217,759,1,A79C0 00000 00001,2020/081 21:22:33.817,0,406062469.2,0,2.861,42.736,43.888,1.243,0.232,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5A7F 6083DC
76,2020/081 21:18:26.379,3166,217,759,1,A79C0 00000 00001,2020/081 21:18:26.379,0,406062465.8,0,2.861,42.63,44.567,1.246,0.236,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E5001 7A6D20
77,2020/081 21:17:35.232,3166,217,759,1,A79C0 00000 00001,2020/081 21:17:35.232,0,406062465.4,0,3.815,42.312,43.949,1.244,0.125,0,78,0,400.037,FFFE2F 53CE00 000000 000D14 8E50E1 33D1AB
78,2020/081 21:16:46.747,3166,217,759,1,A79C0 00000 00001,2020/081 21:16:46.747,0,406062463.9,0,2.861,42.918,43.648,1.274,0.23,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E50A3 5EC3EF
79,2020/081 21:15:57.257,3166,217,759,1,A79C0 00000 00001,2020/081 21:15:57.257,0,406062464.3,0,2.861,43.04,44.365,1.249,0.253,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E50B9 10F798
80,2020/081 19:42:59.493,3166,217,759,1,A79C0 00000 00001,2020/081 19:42:59.493,0,406062364.3,0,2.861,32.358,33.984,1.31,0.367,0,4997,0,400.129,FFFE2F 534E00 000000 000D14 8E5063 8C4573
81,2020/081 19:42:07.393,3166,217,759,1,A79C0 00000 00001,2020/081 19:42:07.393,0,406062362.8,0,2.861,33.075,35.164,1.306,0.375,0,4961,0,400.022,FFFE2F 53CE00 000000 000D14 8E50CD B3FF33
82,2020/081 19:41:16.625,3166,217,759,1,A79C0 00000 00001,2020/081 19:41:16.625,0,406062359.9,0,4.768,41.287,43.055,1.269,0.201,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E508C C4541E
83,2020/081 19:40:26.092,3166,217,759,1,A79C0 00000 00001,2020/081 19:40:26.092,0,406062358.6,0,2.861,41.374,43.244,1.251,0.247,0,5001,0,399.945,FFFE2F 53CE00 000000 000D14 8E5083 AA3D15
84,2020/081 19:39:34.654,3166,217,759,1,A79C0 00000 00001,2020/081 19:39:34.654,0,406062358.3,0,3.815,41.209,42.93,1.249,0.152,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E501F 19557A
85,2020/081 19:38:46.120,3166,217,759,1,A79C0 00000 00001,2020/081 19:38:46.120,0,406062354.3,0,2.861,40.479,43.478,1.308,0.254,0,5000,0,399.991,FFFE2F 53C800 000000 000D14 8E5093 EC7FFC
86,2020/081 19:32:56.026,3166,217,759,1,A79C0 00000 00001,2020/081 19:32:56.026,0,406062354.8,0,2.861,41.254,43.527,1.274,0.274,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5048 BD0B61
87,2020/081 19:32:06.177,3166,217,759,1,A79C0 00000 00001,2020/081 19:32:06.177,0,406062355.3,0,2.861,41.377,43.314,1.248,0.229,0,4999,0,400.037,FFFE2F 53CE00 000000 000D14 8E50D2 64060D
88,2020/081 19:31:17.672,3166,217,759,1,A79C0 00000 00001,2020/081 19:31:17.672,0,406062354.9,0,2.861,41.109,43.252,1.274,0.272,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50C2 680509
89,2020/081 19:30:29.243,3166,217,759,1,A79C0 00000 00001,2020/081 19:30:29.243,0,406062354.5,0,3.815,41.885,43.02,1.265,0.14,0,79,0,399.991,FFFE2F 53CE00 000000 000D04 8E5063 7DDEDD
90,2020/081 19:29:37.091,3166,217,759,1,A79C0 00000 00001,2020/081 19:29:37.091,0,406062354.7,0,2.861,41.529,42.606,1.283,0.27,0,4453,0,399.975,FFFE2F 53CE00 000000 000D14 8E50B6 1179FD
91,2020/081 19:28:47.607,3166,217,759,1,A79C0 00000 00001,2020/081 19:28:47.607,0,406062357.4,0,3.815,41.943,43.385,1.25,0.145,0,78,0,400.037,FFFE2F 53CE00 000000 000D14 8E50BD 0808CC
92,2020/081 19:26:18.878,3166,217,759,1,A79C0 00000 00001,2020/081 19:26:18.878,0,406062356.6,0,3.815,41.488,43.388,1.249,0.145,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E5029 6D0B93
93,2020/081 19:24:36.881,3166,217,759,1,A79C0 00000 00001,2020/081 19:24:36.881,0,406062352.2,0,2.861,41.401,42.941,1.249,0.224,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E5070 7A4DBE
94,2020/081 19:23:47.008,3166,217,759,1,A79C0 00000 00001,2020/081 19:23:47.008,0,406062351.4,0,2.861,41.812,43.248,1.281,0.259,0,5000,2,400.006,FFFE23 53CE00 000000 000D14 8E5060 EB3EDC
95,2020/081 19:22:57.493,3166,217,759,1,A79C0 00000 00001,2020/081 19:22:57.493,0,406062351.1,0,2.861,40.374,42.81,1.247,0.249,0,4999,0,400.099,FFFE2F 53CE00 000000 000D14 8E50DA 4D49D4
96,2020/081 19:22:05.610,3166,217,759,1,A79C0 00000 00001,2020/081 19:22:05.610,0,406062349.8,0,4.768,41.744,43.271,1.273,0.182,0,4999,0,400.068,FFFE2F 53C200 000000 000D14 8E5078 0DDE83
97,2020/081 19:21:17.782,3166,217,759,1,A79C0 00000 00001,2020/081 19:21:17.782,0,406062349.9,0,3.815,41.937,43.162,1.252,0.127,0,77,0,400.022,FFFE2F 53CE00 000000 000D14 8E50F1 0EDE1D
98,2020/081 19:20:26.906,3166,217,759,1,A79C0 00000 00001,2020/081 19:20:26.906,0,406062349.8,0,2.861,41.778,43.364,1.271,0.281,0,4999,0,400.052,FFFE2F 53CE00 000000 000D14 8E50DD 54A1F0
99,2020/081 19:19:37.010,3166,217,759,1,A79C0 00000 00001,2020/081 19:19:37.010,0,406062350.2,0,2.861,41.559,42.949,1.293,0.251,0,3673,0,399.975,FFFE2F 53CE00 000000 000D14 8E500C 37D45F
100,2020/081 19:18:45.555,3166,217,759,1,A79C0 00000 00001,2020/081 19:18:45.555,0,406062348.1,0,2.861,41.414,43.562,1.247,0.229,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E502B 518A46
101,2020/081 19:04:42.791,3166,217,759,1,A79C0 00000 00001,2020/081 19:04:42.791,0,406062318.9,0,2.861,41.493,42.845,1.269,0.272,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8650DA 736C4E
102,2020/081 19:03:51.997,3166,217,759,1,A79C0 00000 00001,2020/081 19:03:51.997,0,406062317.3,0,2.861,40.438,42.218,1.253,0.246,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50C8 B16D37
103,2020/081 19:03:01.833,3166,217,759,1,A79C0 00000 00001,2020/081 19:03:01.833,0,406062315.9,0,2.861,40.749,43.002,1.251,0.238,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E50E4 633605
104,2020/081 19:02:13.957,3166,217,759,1,A79C0 00000 00001,2020/081 19:02:13.957,0,406062315.4,0,2.861,40.982,42.823,1.253,0.259,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E500D 64AD19
105,2020/081 19:01:24.437,3166,217,759,1,A79C0 00000 00001,2020/081 19:01:24.437,0,406062314.7,0,2.861,40.749,43.323,1.256,0.244,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5096 E2BD1B
